LICENSENO,BUSINESSNAME,DBANAME,COMMENTS,LOCATIONCOMMENTS,ISSDTTM,EXPDTTM,LICSTATUS,LICCAT,LICCATDESC,OPENING,CLOSING,PATRONSOUT,CAPACITY,PRIMAPPLICANT,PHONE,STNO,STNOHI,Address,CITY,STATE,ZIP,Location,LT,LO,Latitude,Longitude
LB-99179,"JIMMY JUMBO ENTERPRISES, LLC",NEBO,NONE,MAIN FLOOR; ONE LARGE DINING AREA WITH 104 SEATS  BAR SEATING WITH 57 SEATS  AND KITCHEN IN REAR.  OUTDOOR PATIO ON CITY PROPERTY WITH 77 SEATS BETWEEN THE HOURS OF 11:00 A.M. - 2:00 A.M.  LOWER LEVEL: ADDITIONAL AREA FOR FOOD PREPARATION  STORAGE  AND OFFICES.  TWO ENTRANCES ON ATLANTIC AVENUE.  TW,2013-11-29,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,180,"JIMMY JUMBO ENTERPRISES, LLC",NULL,520,530,  Atlantic AV,Boston,MA,02110,"(0.0, 0.0)",42.353968,-71.052991,42.353968,-71.05299
LB-99182,"LEESIDE RESTAURANT, INC.",THE WHISKEY PRIEST,SUNDAY OPENING AT 9:00 A.M. FOR THE SERVICE OF FOOD WITH  ALCOHOL SERVICE TO BEGIN AT 11:00 A.M. WITH BRUNCH.,Two rooms  kitchen and outdoor patio on the first floor; two rooms on the first floor for stock. One room on the mezzanine level  and to include an outdoor patio on the roof.  CAPACITY BREAKDOWN: 1ST FL INSIDE - 326; 1ST FL OUTSIDE - 28; 2ND FL INSIDE - 39; 2ND FL OUTSIDE - 154.,2013-11-20,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,547,"LEESIDE RESTAURANT, INC.",NULL,150,,  Northern AV,South Boston,MA,02210,"(0.0, 0.0)",42.350779,-71.042792,42.350779,-71.04279
LB-99184,"LEGAL SEA FOODS, LLC",LEGAL HARBORSIDE,10:00 A.M. OPENING ON SUNDAYS FOR ALCOHOL SERVICE WITH BRUNCH.,A RESTAURANT LOCATED IN BUILDING B OF 242 NORTHERN AVENUE CONSISTING OF ONE ROOM ON EACH OF THE 2 FLOORS FOR DINING  KITCHEN & STORAGE LOCATED ON THE 1ST FLOOR IN THE REAR  A ROOF DECK & AN OUTDOOR DINING PATIO.  WITH ONE MAIN ENTRANCE/EXIT AND 5 ADDITIONAL EXITS.  THE OUTDOOR PATIO WILL BE LOCATED,2013-11-14,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,809,"LEGAL SEA FOODS, LLC",NULL,270,,  Northern AV,Boston,MA,02210,"(0.0, 0.0)",42.348669,-71.037756,42.348669,-71.03775
LB-99192,GOLDEN VINTAGE GROUP LLC,VINTAGE LOUNGE,,IN ONE ROOM ON THE FIRST FLOOR; KITCHEN IN THE REAR  STORAGE IN THE BASEMENT.  AND TO INCLUDE AN OUTDOOR PATIO FOR 24 PATRONS.  Capacity breakdown: 157 standing  93 seated.,2013-11-29,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,250,GOLDEN VINTAGE GROUP LLC,NULL,72,,  Broad ST,Boston,MA,02110,"(0.0, 0.0)",42.357747,-71.052982,42.357747,-71.05298
LB-99198,JAKE INC.,MCGREEVEY'S THIRD BASE,1) Alcoholic beverages to be served only in conjunction with brunch on Sundays from 11:00 a.m.to noon. 2)Food to be available at all times. 3) Trash pickup 6 days a week; trash kept  storedand locked. 4) Day time capacity:216 at upper level  49 at lower level. Night time capacity: 269 at upper level  49 at lower level.,911 Boylston Street; in one room on the first floor; in one room in basement with kitchen and storage.  MANAGEMENT AGREEMENT APPROVED BETWEEN JAKE  INC. AND INTERNATIONAL BOSTON MANAGEMENT GROUP  LLC.,2013-11-14,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,318,"JAKE, INC.",NULL,911,,  Boylston ST,Boston,MA,02115,"(0.0, 0.0)",42.348458,-71.084421,42.348458,-71.08442
LB-99201,"RYTUBB, INC.",The Alley Bar,NONE,In one room and storage on the Mezzanine Level and in one room and kitchen on the first floor.  With a mailing address of: 14 Pi Alley  Boston  MA 02108.  Capacity breakdown: ground fl - 96; mezzanine - 84.,2013-11-27,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,180,"RYTUBB, INC.",(617)263-1449,237,275,  Washington ST,Boston,MA,02108,"(0.0, 0.0)",42.357927,-71.057935,42.357927,-71.05793
LB-99203,HAMPSHIRE HOUSE CORPORATION,CHEERS @FANEUIL HALL MARKETPLACE,The Board granted permission to serve alcohol at 10:00 A.M. for Sunday brunch.,RESTAURANT & PUB ON 2 LEVELS  ONE AT GROUND LEVEL ON THE SOUTH SIDE OF THE BLDG  ANOTHER 1/2 FLIGHT DOWN WITHIN THE CENTRAL BLDG   COLLECTIVELY CONSISTING OF 2 ENTRANCES/EXITS.  KITCHEN & STORAGE IN BASEMENT; SIDE PATIOS ADJOINING ON ST LEVEL (COVERED & UNCOVERED) ON SOUTH SIDE OF THE BLDG.  CAPACIT,2013-11-19,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,301,HAMPSHIRE HOUSE CORPORATION,NULL,29,,  Faneuil Hall SQ,Boston,MA,02109,"(0.0, 0.0)",42.360021,-71.056227,42.360021,-71.05622
LB-99207,"MACUMBA LATINA, INC.",MACUMBA LATINA,ARMED SECURITY OUTSIDE OF PREMISES THURSDAY - SUNDAY 10 PM THROUGH CLOSING.,Three emergency exits; in two rooms and kitchen on the first floor; cellar for stock.  Capacity breakdown: 208 standing  52 seating.,2013-11-25,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,260,"MACUMBA LATINA, INC.",NULL,477,,  River ST,Mattapan,MA,02126,"(0.0, 0.0)",42.268207,-71.093114,42.268207,-71.09311
LB-99211,"SAVIN RESTAURANT, LLC",NULL,6:00 A.M. for the service of food Only.  SERVICE OF ALCOHOL ON SUNDAYS TO BEGIN AT 10:00 A.M. WITH BRUNCH.,Unnumbered side entrance on Sydney Street; In one room  on first floor; one room in basement.  CAPACITY BREAKDOWN: BASEMENT TOTAL 45 -- 4 @ STOOLS  30 @ TABLES & CHAIRS  11 STANDING; 1ST FLOOR TOTAL 99 -- 15 @ STOOLS  84 @ TABLES AND CHAIRS.,2013-11-06,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,144,"SAVIN RESTAURANT, LLC",NULL,112,,Savin Hill Av,Dorchester,MA,02125,"(0.0, 0.0)",42.311691,-71.053549,42.311691,-71.05354
LB-99213,"BURN, INC.                      (COMMERCIAL UNIT C)",TREMONT 647/SISTER SOREL,1) Alcoholicbeverages to be served only to diners or persons waiting to dine. 2) Trash to be stored inside. 3) Deliveries between 8 AM and 6 PM.,645-647 Tremont St.; Street level basement  street level cafe  dining room kitchen  storage and utility room  and an outdoor seasonal patio for ten (10) persons; and in two (2) rooms at 645 Tremont St. (adjoining space) with main entrance /exit on Tremont St. and exit in rear  storage  office and re,2013-11-21,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,106,"BURN, INC. (COMMERCIAL UNIT C)",(617)266-4600,645,647,  Tremont ST,Boston,MA,02118,"(0.0, 0.0)",42.342236,-71.075349,42.342236,-71.07534
LB-99218,"BK & PF, LLC",THE NORTH STAR,NONE,IN ONE LARGE ROOM ON THE FIRST FLOOR WITH KITCHEN  ONE ENLARGED ROOM ON THE FIRST FLOOR WITH ENTRANCE AT 224 FRIEND STREET.  ONE ROOM ON SECOND FLOOR  CELLAR FOR STOCK.  Capacity breakdown: 128 seated  139 standing.,2013-11-21,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,267,"BK & PF, LLC",NULL,222,,  Friend ST,Boston,MA,02114,"(0.0, 0.0)",42.364278,-71.060831,42.364278,-71.06083
LB-99220,"FHM HOSPITALITY, INC.",ANTHEM,ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH BRUNCH ON SUNDAYS: FROM - 11AM TO NOON.,@ 100 SOUTH MARKET ST BLDG: In office  kitchen  storage & bakery in basement; 1 room & a covered & uncovered patio( 74' )on the 1st floor; 2 rooms  2 service areas & a balcony on 2nd floor; Entrance & exit at S.Market St&Faneuil Hall Mkpl unnumbered exit ,2013-11-26,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,308,"FHM HOSPITALITY, INC.",NULL,100,,Faneuil Hall Marketplace ,Boston,MA,02109,"(0.0, 0.0)",42.366062,-71.048291,42.366062,-71.04829
LB-99225,"THE BLACK ROSE, INC.",BLACK ROSE,1. OPEN AT 11:00 A.M. ON SUNDAYS FOR THE SERVICE OF FOOD ONLY.,In one room and kitchen on first floor; cellar for stock and one room and a kitchen on the second floor.  Capacity breakdown: 1st fl - 74 seated  119 standing; 2nd fl - 81 seated; 139 standing.,2013-11-25,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,413,"THE BLACK ROSE, INC.",NULL,160,,  State ST,Boston,MA,02109,"(0.0, 0.0)",42.359437,-71.05378,42.359437,-71.0537
LB-99227,"170, LLC",THE GRANARY TAVERN,NONE,170 MILK STREET ENTRANCE - FIRST FLOOR 2 ROOMS  BASEMENT FOR COOKING  STORAGE  STOCK WITH ADDITIONAL BAR AREA AND SEATING FOR DINING.  OUTSIDE SEASONAL PATIO ON PRIVATE LAND WITH 30 SEATS BETWEEN THE HOURS OF 11:00 A.M. - 1:00 A.M.  (CAPACITY BREAKDOWN: 206 PERSONS AS FOLLOWS: STREET LEVEL - 14-PERS,2013-11-25,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,206,"170, LLC",NULL,170,,  Milk ST,Boston,MA,02109,"(0.0, 0.0)",42.358733,-71.05252,42.358733,-71.0525
LB-99228,T.G.I. FRIDAY'S INC.,TGI FRIDAY'S,PATIO CONDITIONS: 1.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.  2.) 11:00 P.M. CLOSING HOUR.,IN TWO ROOMS ON THE FIRST FLOOR; KITCHEN PREP AREA AND STORAGE IN THE REAR WITH AN OUTDOOR SEASONAL PATIO FROM APRIL THROUGH OCTOBER FOR 24 PATRONS ON PRIVATE PROPERTY.,2013-11-26,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,235,T.G.I. FRIDAY'S INC.,NULL,1,,  Brigham CIR,Boston,MA,02115,"(0.0, 0.0)",42.365175,-71.034675,42.365175,-71.03467
LB-99232,BERTUCCI'S  RESTAURANT CORP.,BERTUCCI'S BRICK OVEN RISTORANTE,Pledges of stock and license with x,679-683 VFW Parkway  in one room with an outside patio on the first floor with a rear room for kitchen and storage also storage in basemet with an enlarged existing kitchen and prep area in additional space previously numbered 679 V.F.W.Parkway.  Capacity breakdown: 219 inside; 28 outside.,2013-11-19,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,12:00 AM,12:30 AM,219,BERTUCCI'S RESTAURANT CORP.,NULL,683,,  VFW PW,Boston,MA,02467,"(0.0, 0.0)",42.31782,-71.162676,42.31782,-71.16267
LB-99233,M.Y.N. CORP.,DUBLIN PUB,,Rear entrance for stock - two rooms and kitchen first floor cellar for stock.,2013-11-29,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,223,M.Y.N. CORP.,NULL,7,9,  Stoughton ST,Dorchester,MA,02125,"(0.0, 0.0)",42.316982,-71.065036,42.316982,-71.06503
LB-99234,NWRK LLC,RUSTIC KITCHEN,PATIO CONDITIONS: 1.) AT ALL TIMES WHEN ALCOHOL IS SERVED A FULL BREAKFAST  LUNCH AND/OR DINNER MENU AND WAIT PERSON SERVICE SHALL BE OFFERED AT ALL AREAS OF THE RESTAURANT WHERE ALCOHOL IS SERVED.  2.) AGREEMENT DATED 5/8/06 BETWEEN LICENSEE AND BAY VILLAGE NEIGHBORHOOD ASSOCIATION INCORPORATED BY REFERENCE.,ENTRANCES AND EXITS FROM STUART STREET  IN ONE LARGE ROOM ON 1ST FLOOR ( STREET LEVEL) USED FOR DINING  LOUNGE  KITCHEN AND STORAGE AREAS  AND TO INCLUDE ENCLOSED PATIO; AND AN OUTDOOR SEASONAL PATIO FROM APRIL - OCTOBER FOR TEN PATRONS ON PRIVATE PROPERTY BETWEEN THE HOURS OF NOON - 10:00 P.M.  Gar,2013-11-25,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,251,Rustic Kitchen,(617)423-5700,210,,  Stuart ST,Boston,MA,02116,"(0.0, 0.0)",42.350341,-71.067458,42.350341,-71.06745
LB-99235,McCORMICK & SCHMICK RESTAURANT CORP.,McCORMICK & SCHMICK'S SEAFOOD RESTAURANT,1.  12:30 Closing of Columbus Ave. entrance.  2.  Valet parking to be available.,In one room on first floor for dining  with lounge and kitchen; storage in the basement; main entrance at 34 Columbus Ave.; entrance via lobby of Boston Park Plaza Hotel  20 Park Plaza; emergency exit onto Columbus Ave.,2013-11-25,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,299,MCCORMICK & SCHMICK RESTAURANT CORP.,NULL,34,,  Columbus AV,Boston,MA,02116,"(0.0, 0.0)",42.350907,-71.069347,42.350907,-71.06934
LB-99237,BERKELEY PLACE RESTAURANT LIMITED PARTNERSHIP,GRILLE 23 RESTAURANT & BAR,NONE,IN ONE ROOM  LOUNGE  KITCHEN ON FIRST FLOOR; 8 DINING ROOMS  LOUNGE  KITCHEN ON 2ND FLOOR; CELLAR FOR STOCK  OFFICE AND EMPLOYEES CONVENIENCES.  Capacity breakdown: 1st fl 250 total (173 seated  77 standing); 2nd fl 290 total (192 seated  98 standing).,2013-11-21,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,540,BERKELEY PLACE RESTAURANT LIMITED PARTNERSHIP,NULL,340,,  Stuart ST,Boston,MA,02116,"(0.0, 0.0)",42.349572,-71.071993,42.349572,-71.07199
LB-99239,"BANGKOK HUT, INC.",MONTEIN RESTAURANT,,Rear entrance to kitchen from alley;entrance to cellar from Stuart Street for stock;one room and kitchen first floor; basement for storage.,2013-11-27,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,118,"BANGKOK HUT, INC.",NULL,63,65,  Stuart ST,Boston,MA,02116,"(0.0, 0.0)",42.351265,-71.064394,42.351265,-71.06439
LB-99249,"FATHER'S NEW TAMWORTH CAFE, INC.",TAM,,222 Tremont Street; unnumbered entrance on Tremont Street; rear entrance from alley for stock- One room first floor; basement for kitchen and stock.,2013-11-26,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,99,"FATHER'S NEW TAMWORTH CAFE, INC.",NULL,222,,  Tremont ST,Boston,MA,02116,"(0.0, 0.0)",42.3515,-71.064539,42.3515,-71.06453
LB-99251,"253 FOOD AND SPIRIT, LLC",ABBY LANE,The board granted permission to provide bottle service.,Rear entrance from privateway to first floor for stock; two rooms first floor; three rooms second floor for office space; cellar for stock; CAPACITY BREAKDOWN: RESTAURANT-335 PERSONS(BAR STOOLS 1ST FLR-32 PERSONS TABLES & CHAIRS 1ST FLR -45 PERSONS STANDING 1ST FLR -53 PERSONS BAR STOOLS 2ND FLR 2,2013-11-29,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,335,"253 Food and Spirit, LLC",NULL,255,257,  Tremont ST,Boston,MA,02116,"(0.0, 0.0)",42.350277,-71.065177,42.350277,-71.06517
LB-99252,"WANG THEATRE, INC.",WANG THEATRE,Alcoholic beverages cannot be brought to the seating area of the auditorium.,In whole of said building with a 2:00 A.M. Restriction. Alcoholic beverages are served before shows & during intermissions in the lobby.,2013-11-25,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,4624,"WANG THEATRE, INC.",NULL,268,,  Tremont ST,Boston,MA,02116,"(0.0, 0.0)",42.349963,-71.065267,42.349963,-71.06526
LB-99253,"FACTOTUM TAP ROOM, INC.",THE PARISH CAFÉ II,,FRONT ENTRANCE STREET LEVEL COMMERCIAL CONDOMINIUM WITH ONE ROOM ON THE GROUND FLOOR  SEASONAL OUTDOOR PATIO ON SIDEWALK IN FRONT OF PREMISES  WITH KITCHEN AND STORAGE IN THE REAR WITH REAR EMERGENCY EXIT TO THE ALLEY.  Capacity breakdown: 74 @ tables  18 @ bar.,2013-11-21,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,92,"FACTOTUM TAP ROOM, INC.",NULL,493,495,  Massachusetts AV,Roxbury,MA,02118,"(0.0, 0.0)",42.339266,-71.080815,42.339266,-71.08081
LB-99254,"FIVE TWENTY TREMONT, INC.",EAGLE,Door on Dwight Street for emergency exit only.,520 Tremont Street and unnumbered exit on Dwight Street One room and kitchen first floor; cellar for stock.,2013-11-13,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,138,"Five Twenty Tremont, Inc.",NULL,520,,  Tremont ST,Roxbury,MA,02118,"(0.0, 0.0)",42.344674,-71.069983,42.344674,-71.06998
LB-99255,MASSACHUSETTS CONVENTION CENTER AUTHORITY,NULL,,In whole of said building; lst  2nd  and 3rd fls; kitchens on lst & 3rd fls; two stationary concession & bar stands of lst fl; two stationary concessions & bar stands on 3rd fl; basement for stock; 2:oo A.M. Restriction.  MANAGEMENT AGREEMENT APPROVED BETWEEN MASSACHUSETTS CONVENTION CENTER AUTHORIT,2013-11-26,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,25295,MASSACHUSETTS CONVENTION CENTER AUTHORITY,(617)954-2100,900,,  Boylston ST,Boston,MA,02115,"(0.0, 0.0)",42.34815,-71.083674,42.34815,-71.08367
LB-99258,"HOLLYWOOD SPORTS BAR AND GRILL, LLC",SLADES BAR & GRILL,Bottle service approved 10/30/14.,In one room and kitchen on first floor; cellar for stock.,2013-11-26,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,185,"HOLLYWOOD SPORTS BAR AND GRILL, LLC",NULL,958,,  Tremont ST,Roxbury,MA,02120,"(0.0, 0.0)",42.337234,-71.083625,42.337234,-71.08362
LB-99259,"TAVERN IN THE SQUARE CAUSEWAY STREET, LLC",Tavern in the Square,179 INDOOR SEATING  88 OUTDOOR SEATING,In one room  bar and dining area  nine (9) bathrooms  kitchen and storage.  Main entrance on Beverly Street.  Annual outdoor patio with seating capacity for 88  publicly owned by the Massachusetts Department of Transportation and operating Mondays-Sundays from 11:00 A.M.-Midnight.,2013-11-25,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,267,Tavern in the Square Causeway Street LLC,NULL,120,,Beverly St,Boston,MA,02114,"(0.0, 0.0)",42.365774,-71.060008,42.365774,-71.06000
LB-99262,Boston Pubs LLC,The Ginger Man,NONE,Premises will have one bar  one lounge area  an outside cafe area on Boston Wharf Road  two bathrooms  and general seating throughout.  The back of the house will consist of one kitchen with gas fired cooking and hood venting system  one walk-in cooler for storing beer  one walk-in cooler for stori,2013-12-01,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,195,"BOSTON PUBS, LLC",(718)866-7458,374,,  Congress ST,Boston,MA,02210,"(0.0, 0.0)",42.350017,-71.04734,42.350017,-71.0473
LB-99267,"D & NICKOTA ENTERPRISES, INC.",ECCO,NONE,IN ONE ROOM ON THE FIRST FLOOR; KITCHEN IN REAR; OFFICE AND STORAGE IN THE BASEMENT. AND TO INCLUDE A SEASONAL OUTDOOR PATIO IN REAR ON PRIVATE PROPERTY FROM MAY 1ST-NOVEMBER 1ST WITH 34 SEATS BETWEEN THE HOURS OF 11:00 AM-1:00 AM. CAPACITY BREAKDOWN: 92 PERSONS INSIDE  34 PERSONS SEASONAL OUTSIDE P,2013-11-14,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,92,"D & NICKOTA ENTERPRISES, INC.",NULL,107,109,  Porter ST,East Boston,MA,02128,"(0.0, 0.0)",42.372978,-71.036075,42.372978,-71.03607
LB-99270,"OS PRIME, LLC",FLEMING'S PRIME STEAKHOUSE & WINE BAR,NONE,FIRST FLOOR ENTRANCE/EXIT ON STUART STREET & ON CHURCH STREET.  MAIN ENTRANCE  MAIN DINING ROOM WITH A SECOND ROOM WITH 36 SEATS  AND AN ADDITIONAL DINING AREA WITH 64 SEATS ( WITH EMERGENCY EXITS ONTO STUART STREET ) BAR AREA  TWO PRIVATE DINING ROOMS  KITCHEN AND BACK AREA FOR STORAGE AND EMPLOYEE,2013-11-26,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,12:30 AM,1:00 AM,358,"OS PRIME, LLC",NULL,201,,  Stuart ST,Boston,MA,02116,"(0.0, 0.0)",42.350891,-71.068134,42.350891,-71.06813
LB-99276,"TROPICAL VENTURES, LLC",COCO'S LOUNGE,,3169  3171 Washington Street and rear entrance to cellar for stock-1 rm 1st fl of 3169 Washington St for stock- 2 rms and kitchen and stock rm 1st fl; cellar for stock,2013-11-18,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,75,"TROPICAL VENTURES, LLC",NULL,3169,3171,  Washington ST,Jamaica Plain,MA,02130,"(0.0, 0.0)",42.313544,-71.100804,42.313544,-71.10080
LB-99283,"LEINSTER GROUP, INC.",SCHOLARS,,IN ONE LARGE ROOM ON THE FIRST FLOOR WITH BAR; KITCHEN IN REAR.  IN ONE ROOM ON THE MEZZANINE LEVEL WITH BAR. ENTRANCE ON SCHOOL STREET; EXIT AT REAR ON PIE ALLEY.  ADDITIONAL EXITS TO ADJACENT SPACE AT 27 SCHOOL STREET LOCATED ON FIRST FLOOR AND MEZZANINE LEVEL.  Capacity breakdown: 1st fl - 37 @ b,2013-11-25,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,386,"LEINSTER GROUP, INC.",NULL,25,,  School ST,Boston,MA,02108,"(0.0, 0.0)",42.357598,-71.058948,42.357598,-71.05894
LB-99284,"HALE MARKETING, INC.",THE DOGWOOD CAFÉ,,3712-3716 Washington St; three rear entrances from yard for stock & emergency exits; in three rooms with function area & kitchen on the first floor; second floor & basement for stock.,2013-11-27,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,150,"HALE MARKETING, INC.",NULL,3712,,  Washington ST,Jamaica Plain,MA,02130,"(0.0, 0.0)",42.300212,-71.113227,42.300212,-71.11322
LB-99285,"WHEELING'S BAR, LLC",BEEHIVE,PATIO CONDITIONS: 1.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.  2.) PATIO TO BE STAFFED AT ALL TIMES 3.) 11:00 P.M. CLOSING,IN ONE ROOM ON THE 1ST FLOOR WITH BAR; IN ONE LARGE ROOM IN BASEMENT WITH  KITCHEN  STORAGE AREA & OFFICE & TO INCLUDE 1 OUTDOOR SEASONAL PATIO IN FRONT OF PREMISES FROM APRIL THROUGH OCTOBER FOR 80 PATRONS.  Capacity breakdown: mazzanine - 68 (44 seated  24 standing); lower level - 292 (80 seated ,2013-11-26,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,360,"WHEELING'S BAR, LLC",NULL,541,,  Tremont ST,Boston,MA,02116,"(0.0, 0.0)",42.344691,-71.071407,42.344691,-71.07140
LB-99287,"CHARLIE REDD, INC.",REDD'S IN ROZZIE,PATIO CONDITIONS: 1) MUST CLOSEAT 11:00 P.M.; 2) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS; AND3) MUSTBE STAFFED AT ALL TIMES.,REAR EMERGENCY EXIT AND REAR ENTRANCE FOR STOCK; IN TWO ROOMS ON FIRST FLOOR; CELLAR FOR STOCK AND  TO INCLUDE AN OUTDOOR SEASONAL PATIO FROM APRIL THROUGH OCTOBER FOR 20 PATRONS ON PRIVATE PROPERTY.,2013-11-26,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,97,"CHARLIE REDD, INC.",NULL,4255,4257,  Washington ST,Roslindale,MA,02131,"(0.0, 0.0)",42.285518,-71.129154,42.285518,-71.12915
LB-99288,"BRANNELLY'S CAFE, INC.",J.J. BRANNELLY'S,,4432  4434A Washington St.  rear entrance from yard for stock- Two rooms and kitchen first floor  cellar for stock- capacity 179 - an increase of 73 persons.,2013-11-25,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,179,"BRANNELLY'S CAFE, INC.",NULL,4432,4434,  Washington ST,Roslindale,MA,02131,"(0.0, 0.0)",42.280257,-71.13435,42.280257,-71.1343
LB-99289,"PLEASANT, INC.",PLEASANT CAFÉ,,4511  4515  4517  4519 Washington St; rear exit at 4511 & 4515 Wash. St. & kit. exit at 4519 Wash. St; in 2 rms & kit. in the 1st fl; cellar for stock-with no increase in capacity,2013-11-25,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,195,"PLEASANT, INC.",NULL,4511,4519,  Washington ST,Roslindale,MA,02131,"(0.0, 0.0)",42.278783,-71.136801,42.278783,-71.13680
LB-99291,Hampshire House Corp.,75 ON LIBERTY WHARF,Board granted permission to serve alcohol on Sundays at 10:00 A.M. for Sunday morning brunch.,1490 FOOT KIOSK LOCATED ON LIBERTY WHARF ON NORTHERN AVENUE IN SOUTH BOSTON SEAPORT DISTRICT.  ONE STORY BUILDING WITH ONE OPEN ROOM  2 ENTRANCES AND EGRESSES STORAGE IN REAR.  YEAR- ROUND OUTDOOR PATIO SEATING FOR 60 PATRONS.  LAND OWNED BY MASSPORT.,2013-11-19,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,84,HAMPSHIRE HOUSE CORPORATION,NULL,220,,  Northern AV,Boston,MA,02210,"(0.0, 0.0)",42.349277,-71.039796,42.349277,-71.03979
LB-99292,"BABBO ENOTECA FP, LLC",BABBO PIZZERIA E ENOTECA,NONE,A GROUND FLOOR RESTAURANT AND BAR AT 11 FAN PIER BOULEVARD IN BOSTON:  MAIN ENTRANCE/EXIT AT THE BUILDING CORNER; 3 BARS WITH SEATING (LIQUOR AND WINE BAR: 23 SEATS  ANTIPASTI BAR:  11 SEATS AND A PIZZA BAR: 14 SEATS) DINING ROOM (116 SEATS AND 24 PEOPLE STANDING) AND EMERGENCY EXITS IN FRONT;  REST,2013-11-20,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,180,"BABBO ENOTECA FP, LLC",(212)995-9559,11,,Fan Pier  Bl,Boston,MA,02210,"(0.0, 0.0)",42.353014,-71.045977,42.353014,-71.04597
